toolcombo	num_viruses	numtools
0 0 0 1 0 0	4060	1
0 0 1 0 0 0	10872	1
0 0 1 1 0 0	11632	2
1 0 0 0 0 0	14163	1
1 0 0 1 0 0	15424	2
0 0 0 0 0 1	15793	1
1 0 1 0 0 0	15984	2
0 0 1 0 1 0	17440	2
1 0 1 1 0 0	18094	3
0 0 0 0 1 0	18209	1
0 0 0 1 1 0	19389	2
0 0 1 1 1 0	19481	3
0 0 0 1 0 1	19797	2
0 0 1 0 0 1	21607	2
0 0 1 1 0 1	22377	3
0 0 1 0 1 1	27743	3
1 0 1 0 1 0	27862	3
1 0 1 1 1 0	28665	4
1 0 0 0 1 0	29448	2
0 0 1 1 1 1	29781	4
1 0 0 1 1 0	29970	3
0 0 0 0 1 1	31155	2
0 0 0 1 1 1	32291	3
1 0 1 0 0 1	44960	3
1 0 1 1 0 1	46848	4
1 0 0 0 0 1	54360	2
1 0 1 0 1 1	54362	4
1 0 1 1 1 1	55057	5
1 0 0 1 0 1	55318	3
0 1 1 0 0 0	55492	2
0 1 1 1 0 0	56287	3
0 1 1 0 1 0	60838	3
0 1 1 1 1 0	62810	4
0 1 0 0 0 0	63467	1
0 1 1 0 0 1	64112	3
1 0 0 0 1 1	64390	3
1 0 0 1 1 1	64761	4
0 1 1 1 0 1	64932	4
0 1 0 1 0 0	67147	2
0 1 1 0 1 1	68790	4
0 1 1 1 1 1	70751	5
1 1 1 0 0 0	71654	3
1 1 1 1 0 0	73723	4
0 1 0 0 0 1	74664	2
0 1 0 0 1 0	74692	2
0 1 0 1 1 0	75672	3
0 1 0 1 0 1	78244	3
1 1 1 0 1 0	79908	4
1 1 1 1 1 0	80639	5
0 1 0 0 1 1	84021	3
1 1 1 0 0 1	84151	4
0 1 0 1 1 1	84940	4
1 1 1 1 0 1	85996	5
1 1 0 0 0 0	88691	2
1 1 0 1 0 0	89682	3
1 1 1 0 1 1	90791	5
1 1 1 1 1 1	91435	6
1 1 0 0 1 0	96267	3
1 1 0 1 1 0	96624	4
1 1 0 0 0 1	101598	3
1 1 0 1 0 1	102354	4
1 1 0 0 1 1	107529	4
1 1 0 1 1 1	107781	5
